䴅,puon,büën,,,,,,
鳻,pran,büën,,,,,,
橨,büë́i,büën,,,,,,
棻,phüën,büën,,,,,,
朌,pran,büën,,,,,,
㞣,phüën,büën,,,,,,
汎,phüö̀m,byung,,,,,,
梵,büö̀m,byung,,,,,,
鼢,büën,büë́n,,,,,,
蚡,büën,büë́n,,,,,,
墳,büën,büë́n,,,,,,
轒,büën,büë́n,,,,,,
膹,büë́i,büë́n,,,,,,
忿,phüë́n,phüë̀n,,,,,,
拚,byä̀n,püë̀n,,,,,,
瀵,phüë̀n,püë̀n,,,,,,
分,püën,büë̀n,,,,,,
份,pyn,büë̀n,,,,,,
㿎,büë́n,büë̀n,,,,,,
𢅯,büë́n,büë̀n,,,,,,
坋,büë́n,büë̀n,,,,,,
俸,púng,byòng,,,,,,
捀,byong,byòng,,,,,,
縫,byong,byòng,,,,,,
葑,pyong,pyòng,,,,,,
封,pyong,pyòng,,,,,,
唪,búng,byóng,,,,,,
風,pyung,pyùng,,,,,,
麷,phyung,phyùng,,,,,,
莩,byä́u,phüo,,,,,,
䒀,bò,phüo,,,,,,
哹,pyu,byu,,,,,,
桴,phüo,byu,,,,,,
罦,phüo,byu,,,,,,
䱐,phüo,byu,,,,,,
扶,püo,büo,,,,,,
夫,püo,büo,,,,,,
瓿,bú,büo,,,,,,
泭,phüo,büo,,,,,,
否,byí,pyú,,,,,,
鴀,pyu,pyú,,,,,,
郙,phüo,püó,,,,,,
俌,püó,phüó,,,,,,
㤱,phyú,phyù,,,,,,
坿,büo,büò,,,,,,
跗,püo,büò,,,,,,
鮒,büò,büò,,,,,,
婏,phüòn,phüò,,,,,,
𩬙,püo,püò,,,,,,
父,püó,büó,,,,,,
福,phyù,pyuk,,,,,,
複,byù,pyuk,,,,,,
幅,pyk,pyuk,,,,,,
輻,pyù,pyuk,,,,,,
鍑,pyù,pyuk,,,,,,
鶝,byk,pyuk,,,,,,
菐,buk,pyuk,,,,,,
偪,pyk,pyuk,,,,,,
楅,pyk,pyuk,,,,,,
伏,byù,byuk,,,,,,
復,byù,byuk,,,,,,
馥,byk,byuk,,,,,,
輹,pyuk,byuk,,,,,,
椱,byù,byuk,,,,,,
絥,byuk,byì,,,,,,訓“鞴”
菔,bëk,byuk,,,,,,
匐,bëk,byuk,,,,,,
蕧,byuk,phyuk,,,,,,
𩯅,phyù,phyuk,,,,,,
𥨍,byuk,phyuk,,,,,,
䔰,pyù,phyuk,,,,,,
襆,puk,byok,,,,,,
䪁,puk,pyok,,,,,,
韍,byì,püët,,,,,,
冹,püot,püët,,,,,,
帗,puat,püët,,,,,,
怫,büë̀i,büët,,,,,,
茀,püë̀i,phüët,,,,,,
祓,püö̀j,phüët,,,,,,
艴,buot,phüët,,,,,,
刜,büët,phüët,,,,,,
䇞,kam,kám,,,,,,
稈,kán,kán,,,,,,
秆,kán,kán,,,,,,
仠,kán,kán,,,,,,
淦,köm,kö̀m,,,,,,
灨,kö́m,kö̀m,,,,,,
鋼,kang,kàng,,,,,,
掆,kang,kàng,,,,,,
䔌,kau,kau,,,,,,
㚖,káu,tsjhiäk,,,,,,訓“澤”之施隻切
縞,káu,kàu,,,,,,
膏,kau,kàu,,,,,,
㱯,ngöi,köi,,,,,,
剴,ngöi,köi,,,,,,
䬵,qràj,köi,,,,,,
𩹺,kräk,krek,,,,,,
埂,kräng,krä́ng,,,,,,
縆,këng,kë̀ng,,,,,,
更,kräng,krä̀ng,,,,,,
笴,kán,kö́,,,,,,
過,kuö,kuö̀,,,,,,
裹,kuö́,kuö̀,,,,,,
